课程,课次,假名,汉字,释义,词性,罗马字,例句假名,例句汉字,例句释义
初级下册,第11课,そぼ,祖母,奶奶,名词,sobo,私の祖母です,私の祖母です,是我的奶奶
初级下册,第11课,おとこ,男,男性,名词,otoko,男の人です,男の人です,是男性
初级下册,第12课,かいもの,買い物,购物,名词,kaimono,買い物に行きます,買い物に行きます,去购物
初级下册,第12课,かう,買う,买,动词,kau,本を買います,本を買います,买书
初级下册,第12课,うる,売る,卖,动词,uru,車を売ります,車を売ります,卖汽车
初级下册,第12课,ねだん,値段,价格,名词,nedan,値段はいくらですか,値段はいくらですか,价格是多少？
初级下册,第12课,いくら,,多少钱,代词,ikura,いくらですか,いくらですか,多少钱？
初级下册,第12课,えん,円,日元,名词,en,千円です,千円です,一千日元
初级下册,第12课,やすい,安い,便宜的,形容词,yasui,安い本です,安い本です,便宜的书
初级下册,第12课,たかい,高い,贵的,形容词,takai,高い車です,高い車です,贵的汽车
初级下册,第12课,みせ,店,商店,名词,mise,店に行きます,店に行きます,去商店
初级下册,第12课,おかね,お金,钱,名词,okane,お金がありません,お金がありません,没有钱
初级下册,第13课,でんしゃ,電車,电车,名词,densha,電車で行きます,電車で行きます,坐电车去
初级下册,第13课,バス,,公共汽车,名词,basu,バスに乗ります,バスに乗ります,坐公共汽车
初级下册,第13课,タクシー,,出租车,名词,takushii,タクシーを呼びます,タクシーを呼びます,叫出租车
初级下册,第13课,じてんしゃ,自転車,自行车,名词,jitensha,自転車で来ました,自転車で来ました,骑自行车来的
初级下册,第13课,ひこうき,飛行機,飞机,名词,hikouki,飛行機で帰ります,飛行機で帰ります,坐飞机回去
初级下册,第13课,ふね,船,船,名词,fune,船で旅行します,船で旅行します,坐船旅行
初级下册,第13课,のる,乗る,乘坐,动词,noru,電車に乗ります,電車に乗ります,坐电车
初级下册,第13课,おりる,降りる,下车,动词,oriru,駅で降ります,駅で降ります,在车站下车
初级下册,第13课,で,,用/在,助词,de,電車で行きます,電車で行きます,坐电车去
初级下册,第13课,えき,駅,车站,名词,eki,駅で降ります,駅で降ります,在车站下车
初级下册,第14课,てんき,天気,天气,名词,tenki,今日はいい天気です,今日はいい天気です,今天天气很好
初级下册,第14课,はれ,晴れ,晴天,名词,hare,今日は晴れです,今日は晴れです,今天是晴天
初级下册,第14课,あめ,雨,雨,名词,ame,雨が降ります,雨が降ります,下雨
初级下册,第14课,ゆき,雪,雪,名词,yuki,雪が降ります,雪が降ります,下雪
初级下册,第14课,かぜ,風,风,名词,kaze,風が強いです,風が強いです,风很大
初级下册,第14课,あつい,暑い,热的,形容词,atsui,今日は暑いです,今日は暑いです,今天很热
初级下册,第14课,さむい,寒い,冷的,形容词,samui,今日は寒いです,今日は寒いです,今天很冷
初级下册,第14课,すずしい,涼しい,凉爽的,形容词,suzushii,今日は涼しいです,今日は涼しいです,今天很凉爽
初级下册,第14课,はる,春,春天,名词,haru,春になりました,春になりました,春天到了
初级下册,第14课,なつ,夏,夏天,名词,natsu,夏は暑いです,夏は暑いです,夏天很热
初级下册,第14课,あき,秋,秋天,名词,aki,秋は涼しいです,秋は涼しいです,秋天很凉爽
初级下册,第14课,ふゆ,冬,冬天,名词,fuyu,冬は寒いです,冬は寒いです,冬天很冷
初级下册,第15课,きのう,昨日,昨天,名词,kinou,昨日映画を見ました,昨日映画を見ました,昨天看了电影
初级下册,第15课,ました,,过去式词尾,助动词,mashita,映画を見ました,映画を見ました,看了电影
初级下册,第15课,いきました,行きました,去了,动词,ikimashita,学校に行きました,学校に行きました,去了学校
初级下册,第15课,たべました,食べました,吃了,动词,tabemashita,昼ご飯を食べました,昼ご飯を食べました,吃了午饭
初级下册,第15课,のみました,飲みました,喝了,动词,nomimashita,コーヒーを飲みました,コーヒーを飲みました,喝了咖啡
初级下册,第15课,みました,見ました,看了,动词,mimashita,テレビを見ました,テレビを見ました,看了电视
初级下册,第15课,かいました,買いました,买了,动词,kaimashita,本を買いました,本を買いました,买了书
初级下册,第15课,よみました,読みました,读了,动词,yomimashita,新聞を読みました,新聞を読みました,读了报纸
初级下册,第15课,しんぶん,新聞,报纸,名词,shinbun,新聞を読みました,新聞を読みました,读了报纸
初级下册,第15课,せんしゅう,先週,上周,名词,senshuu,先週日本に行きました,先週日本に行きました,上周去了日本
初级下册,第16课,やく,約,大约,副词,yaku,約一時間です,約一時間です,大约一小时
初级下册,第16课,じかん,時間,时间,名词,jikan,時間がありません,時間がありません,没有时间
初级下册,第16课,ぐらい,,大约,助词,gurai,一時間ぐらいです,一時間ぐらいです,大约一小时
初级下册,第16课,はやい,早い,早的,形容词,hayai,朝が早いです,朝が早いです,早上很早
初级下册,第16课,おそい,遅い,晚的,形容词,osoi,電車が遅いです,電車が遅いです,电车晚点了
初级下册,第16课,いそがしい,忙しい,忙的,形容词,isogashii,今日は忙しいです,今日は忙しいです,今天很忙
初级下册,第16课,ひま,暇,空闲,形容动词,hima,今日は暇です,今日は暇です,今天有空
初级下册,第16课,やすみ,休み,休息,名词,yasumi,今日は休みです,今日は休みです,今天休息
初级下册,第16课,しごと,仕事,工作,名词,shigoto,仕事をします,仕事をします,工作
初级下册,第16课,べんきょう,勉強,学习,名词,benkyou,日本語を勉強します,日本語を勉強します,学习日语
中级上册,第21课,もし,,如果,副词,moshi,もし雨なら行きません,もし雨なら行きません,如果下雨就不去
中级上册,第21课,なら,,如果,助词,nara,雨なら行きません,雨なら行きません,如果下雨就不去
中级上册,第21课,じょうけん,条件,条件,名词,jouken,条件があります,条件があります,有条件
中级上册,第21课,ばあい,場合,场合,名词,baai,その場合は,その場合は,那种场合
中级上册,第21课,たら,,如果,助词,tara,時間があったら,時間があったら,如果有时间的话
中级上册,第21课,れば,,如果,助词,reba,お金があれば,お金があれば,如果有钱的话
中级上册,第21课,ば,,如果,助词,ba,行けば,行けば,如果去的话
中级上册,第21课,と,,一旦,助词,to,ボタンを押すと,ボタンを押すと,一按按钮
中级上册,第21课,ボタン,,按钮,名词,botan,ボタンを押します,ボタンを押します,按按钮
中级上册,第21课,おす,押す,按,动词,osu,ボタンを押します,ボタンを押します,按按钮
中级上册,第22课,できる,出来る,能够,动词,dekiru,日本語ができます,日本語ができます,会日语
中级上册,第22课,かのう,可能,可能,名词,kanou,可能性があります,可能性があります,有可能性
中级上册,第22课,およげる,泳げる,能游泳,动词,oyogeru,泳げますか,泳げますか,会游泳吗？
中级上册,第22课,はなせる,話せる,能说话,动词,hanaseru,日本語が話せます,日本語が話せます,会说日语
中级上册,第22课,よめる,読める,能读,动词,yomeru,漢字が読めます,漢字が読めます,会读汉字
中级上册,第22课,かける,書ける,能写,动词,kakeru,ひらがなが書けます,ひらがなが書けます,会写平假名
中级上册,第22课,きこえる,聞こえる,能听见,动词,kikoeru,音楽が聞こえます,音楽が聞こえます,能听见音乐
中级上册,第22课,みえる,見える,能看见,动词,mieru,山が見えます,山が見えます,能看见山
中级上册,第22课,やま,山,山,名词,yama,山が見えます,山が見えます,能看见山
中级上册,第22课,ひらがな,,平假名,名词,hiragana,ひらがなが書けます,ひらがなが書けます,会写平假名
中级上册,第23课,たいせつ,大切,重要的,形容动词,taisetsu,家族は大切です,家族は大切です,家族很重要
中级上册,第23课,ひつよう,必要,必要的,形容动词,hitsuyou,勉強は必要です,勉強は必要です,学习是必要的
中级上册,第23课,むずかしい,難しい,困难的,形容词,muzukashii,日本語は難しいです,日本語は難しいです,日语很难
中级上册,第23课,やさしい,易しい,容易的,形容词,yasashii,この問題は易しいです,この問題は易しいです,这个问题很容易
中级上册,第23课,もんだい,問題,问题,名词,mondai,問題があります,問題があります,有问题
中级上册,第23课,かいけつ,解決,解决,名词,kaiketsu,問題を解決します,問題を解決します,解决问题
中级上册,第23课,ほうほう,方法,方法,名词,houhou,いい方法があります,いい方法があります,有好方法
中级上册,第23课,けいかく,計画,计划,名词,keikaku,旅行の計画です,旅行の計画です,是旅行计划
中级上册,第23课,りょこう,旅行,旅行,名词,ryokou,日本に旅行します,日本に旅行します,去日本旅行
中级上册,第23课,じゅんび,準備,准备,名词,junbi,準備をします,準備をします,做准备
中级下册,第31课,しんぱい,心配,担心,名词,shinpai,心配しないでください,心配しないでください,请不要担心
中级下册,第31课,あんしん,安心,安心,名词,anshin,安心しました,安心しました,安心了
中级下册,第31课,きんちょう,緊張,紧张,名词,kinchou,とても緊張します,とても緊張します,很紧张
中级下册,第31课,らく,楽,轻松,形容动词,raku,この仕事は楽です,この仕事は楽です,这个工作很轻松
中级下册,第31课,つらい,辛い,痛苦的,形容词,tsurai,今日は辛いです,今日は辛いです,今天很痛苦
中级下册,第31课,うれしい,嬉しい,高兴的,形容词,ureshii,とても嬉しいです,とても嬉しいです,很高兴
中级下册,第31课,かなしい,悲しい,悲伤的,形容词,kanashii,とても悲しいです,とても悲しいです,很悲伤
中级下册,第31课,おこる,怒る,生气,动词,okoru,先生が怒りました,先生が怒りました,老师生气了
中级下册,第31课,わらう,笑う,笑,动词,warau,みんなで笑いました,みんなで笑いました,大家一起笑了
中级下册,第31课,みんな,,大家,代词,minna,みんなで行きます,みんなで行きます,大家一起去
中级下册,第32课,しゅみ,趣味,兴趣,名词,shumi,読書が趣味です,読書が趣味です,读书是兴趣
中级下册,第32课,どくしょ,読書,读书,名词,dokusho,読書が好きです,読書が好きです,喜欢读书
中级下册,第32课,うんどう,運動,运动,名词,undou,毎日運動します,毎日運動します,每天运动
中级下册,第32课,まいにち,毎日,每天,名词,mainichi,毎日勉強します,毎日勉強します,每天学习
中级下册,第32课,りょこう,旅行,旅行,名词,ryokou,夏休みに旅行します,夏休みに旅行します,暑假去旅行
中级下册,第32课,なつやすみ,夏休み,暑假,名词,natsuyasumi,夏休みは長いです,夏休みは長いです,暑假很长
中级下册,第32课,ながい,長い,长的,形容词,nagai,この道は長いです,この道は長いです,这条路很长
中级下册,第32课,みじかい,短い,短的,形容词,mijikai,この鉛筆は短いです,この鉛筆は短いです,这支铅笔很短
中级下册,第32课,みち,道,路,名词,michi,この道を行きます,この道を行きます,走这条路
中级下册,第32课,えんぴつ,鉛筆,铅笔,名词,enpitsu,鉛筆で書きます,鉛筆で書きます,用铅笔写
高级上册,第41课,しゃかい,社会,社会,名词,shakai,現代社会について,現代社会について,关于现代社会
高级上册,第41课,げんだい,現代,现代,名词,gendai,現代社会について,現代社会について,关于现代社会
高级上册,第41课,について,,关于,助词,ni tsuite,社会について話します,社会について話します,谈论社会
高级上册,第41课,せいじ,政治,政治,名词,seiji,政治に興味があります,政治に興味があります,对政治有兴趣
高级上册,第41课,けいざい,経済,经济,名词,keizai,経済を勉強します,経済を勉強します,学习经济
高级上册,第41课,きょうみ,興味,兴趣,名词,kyoumi,音楽に興味があります,音楽に興味があります,对音乐有兴趣
高级上册,第41课,ぶんか,文化,文化,名词,bunka,日本の文化です,日本の文化です,是日本的文化
高级上册,第41课,でんとう,伝統,传统,名词,dentou,伝統的な文化です,伝統的な文化です,是传统文化
高级上册,第41课,てきな,的な,的,形容动词词尾,tekina,伝統的な文化です,伝統的な文化です,是传统文化
高级上册,第41课,れきし,歴史,历史,名词,rekishi,日本の歴史を学びます,日本の歴史を学びます,学习日本历史
高级上册,第42课,しょうらい,将来,将来,名词,shourai,将来の夢があります,将来の夢があります,有将来的梦想
高级上册,第42课,ゆめ,夢,梦想,名词,yume,医者になる夢があります,医者になる夢があります,有成为医生的梦想
高级上册,第42课,いしゃ,医者,医生,名词,isha,医者になりたいです,医者になりたいです,想成为医生
高级上册,第42课,なりたい,,想成为,动词,naritai,先生になりたいです,先生になりたいです,想成为老师
高级上册,第42课,きぼう,希望,希望,名词,kibou,希望があります,希望があります,有希望
高级上册,第42课,もくひょう,目標,目标,名词,mokuhyou,目標を立てます,目標を立てます,制定目标
高级上册,第42课,たてる,立てる,制定,动词,tateru,計画を立てます,計画を立てます,制定计划
高级上册,第42课,どりょく,努力,努力,名词,doryoku,一生懸命努力します,一生懸命努力します,拼命努力
高级上册,第42课,いっしょうけんめい,一生懸命,拼命,副词,isshoukenmei,一生懸命勉強します,一生懸命勉強します,拼命学习
高级上册,第42课,がんばる,頑張る,加油,动词,ganbaru,頑張って勉強します,頑張って勉強します,加油学习
高级下册,第51课,しんせつ,親切,亲切,形容动词,shinsetsu,とても親切な人です,とても親切な人です,很亲切的人
高级下册,第51课,やさしい,優しい,温柔的,形容词,yasashii,優しい先生です,優しい先生です,温柔的老师
高级下册,第51课,きびしい,厳しい,严格的,形容词,kibishii,厳しい先生です,厳しい先生です,严格的老师
高级下册,第51课,まじめ,真面目,认真的,形容动词,majime,真面目な学生です,真面目な学生です,认真的学生
高级下册,第51课,ゆうめい,有名,有名的,形容动词,yuumei,有名な歌手です,有名な歌手です,有名的歌手
高级下册,第51课,かしゅ,歌手,歌手,名词,kashu,歌手になりたいです,歌手になりたいです,想成为歌手
高级下册,第51课,あたま,頭,头脑,名词,atama,頭がいいです,頭がいいです,头脑聪明
高级下册,第51课,あたまがいい,頭がいい,聪明,形容词,atama ga ii,彼は頭がいいです,彼は頭がいいです,他很聪明
高级下册,第51课,かれ,彼,他,代词,kare,彼は学生です,彼は学生です,他是学生
高级下册,第51课,かのじょ,彼女,她,代词,kanojo,彼女は先生です,彼女は先生です,她是老师
