课程,课次,假名,汉字,释义,词性,罗马字,例句假名,例句汉字,例句释义
初级上册,第9课,すき,好き,喜欢,形容动词,suki,映画が好きです,映画が好きです,喜欢电影
初级上册,第9课,きらい,嫌い,讨厌,形容动词,kirai,野菜が嫌いです,野菜が嫌いです,讨厌蔬菜
初级上册,第9课,えいが,映画,电影,名词,eiga,映画が好きです,映画が好きです,喜欢电影
初级上册,第9课,やさい,野菜,蔬菜,名词,yasai,野菜が嫌いです,野菜が嫌いです,讨厌蔬菜
初级上册,第9课,が,,主格助词,助词,ga,映画が好きです,映画が好きです,喜欢电影
初级上册,第9课,おんがく,音楽,音乐,名词,ongaku,音楽が好きです,音楽が好きです,喜欢音乐
初级上册,第9课,スポーツ,,运动,名词,supootsu,スポーツが好きです,スポーツが好きです,喜欢运动
初级上册,第9课,りょうり,料理,料理,名词,ryouri,日本料理が好きです,日本料理が好きです,喜欢日本料理
初级上册,第9课,にく,肉,肉,名词,niku,肉が好きです,肉が好きです,喜欢肉
初级上册,第9课,さかな,魚,鱼,名词,sakana,魚を食べます,魚を食べます,吃鱼
初级上册,第10课,あります,,有,动词,arimasu,机の上に本があります,机の上にあります,桌子上有书
初级上册,第10课,います,,有,动词,imasu,公園に人がいます,公園に人がいます,公园里有人
初级上册,第10课,うえ,上,上面,名词,ue,机の上にあります,机の上にあります,在桌子上面
初级上册,第10课,した,下,下面,名词,shita,机の下にあります,机の下にあります,在桌子下面
初级上册,第10课,なか,中,里面,名词,naka,かばんの中にあります,かばんの中にあります,在包里面
初级上册,第10课,そと,外,外面,名词,soto,外にあります,外にあります,在外面
初级上册,第10课,こうえん,公園,公园,名词,kouen,公園に人がいます,公園に人がいます,公园里有人
初级上册,第10课,ひと,人,人,名词,hito,公園に人がいます,公園に人がいます,公园里有人
初级上册,第10课,いぬ,犬,狗,名词,inu,犬がいます,犬がいます,有狗
初级上册,第10课,ねこ,猫,猫,名词,neko,猫がいます,猫がいます,有猫
初级上册,第10课,き,木,树,名词,ki,公園に木があります,公園に木があります,公园里有树
初级下册,第11课,かぞく,家族,家族,名词,kazoku,これは私の家族です,これは私の家族です,这是我的家族
初级下册,第11课,ちち,父,父亲,名词,chichi,私の父です,私の父です,是我的父亲
初级下册,第11课,はは,母,母亲,名词,haha,私の母です,私の母です,是我的母亲
初级下册,第11课,あに,兄,哥哥,名词,ani,私の兄です,私の兄です,是我的哥哥
初级下册,第11课,あね,姉,姐姐,名词,ane,私の姉です,私の姉です,是我的姐姐
初级下册,第11课,おとうと,弟,弟弟,名词,otouto,私の弟です,私の弟です,是我的弟弟
初级下册,第11课,いもうと,妹,妹妹,名词,imouto,私の妹です,私の妹です,是我的妹妹
初级下册,第11课,そふ,祖父,爷爷,名词,sofu,私の祖父です,私の祖父です,是我的爷爷
初级下册,第11课,そぼ,祖母,奶奶,名词,sobo,私の祖母です,私の祖母です,是我的奶奶
初级下册,第11课,おとこ,男,男性,名词,otoko,男の人です,男の人です,是男性
初级下册,第11课,おんな,女,女性,名词,onna,女の人です,女の人です,是女性
初级下册,第11课,こども,子ども,孩子,名词,kodomo,子どもがいます,子どもがいます,有孩子
初级下册,第12课,かいもの,買い物,购物,名词,kaimono,買い物に行きます,買い物に行きます,去购物
初级下册,第12课,かう,買う,买,动词,kau,本を買います,本を買います,买书
初级下册,第12课,うる,売る,卖,动词,uru,車を売ります,車を売ります,卖汽车
初级下册,第12课,ねだん,値段,价格,名词,nedan,値段はいくらですか,値段はいくらですか,价格是多少？
初级下册,第12课,いくら,,多少钱,代词,ikura,いくらですか,いくらですか,多少钱？
初级下册,第12课,えん,円,日元,名词,en,千円です,千円です,一千日元
初级下册,第12课,やすい,安い,便宜的,形容词,yasui,安い本です,安い本です,便宜的书
初级下册,第12课,たかい,高い,贵的,形容词,takai,高い車です,高い車です,贵的汽车
初级下册,第12课,みせ,店,商店,名词,mise,店に行きます,店に行きます,去商店
初级下册,第12课,おかね,お金,钱,名词,okane,お金がありません,お金がありません,没有钱
初级下册,第12课,スーパー,,超市,名词,suupaa,スーパーで買います,スーパーで買います,在超市买
初级下册,第12课,デパート,,百货商店,名词,depaato,デパートに行きます,デパートに行きます,去百货商店
初级下册,第13课,でんしゃ,電車,电车,名词,densha,電車で行きます,電車で行きます,坐电车去
初级下册,第13课,バス,,公共汽车,名词,basu,バスに乗ります,バスに乗ります,坐公共汽车
初级下册,第13课,タクシー,,出租车,名词,takushii,タクシーを呼びます,タクシーを呼びます,叫出租车
初级下册,第13课,じてんしゃ,自転車,自行车,名词,jitensha,自転車で来ました,自転車で来ました,骑自行车来的
初级下册,第13课,ひこうき,飛行機,飞机,名词,hikouki,飛行機で帰ります,飛行機で帰ります,坐飞机回去
初级下册,第13课,ふね,船,船,名词,fune,船で旅行します,船で旅行します,坐船旅行
初级下册,第13课,のる,乗る,乘坐,动词,noru,電車に乗ります,電車に乗ります,坐电车
初级下册,第13课,おりる,降りる,下车,动词,oriru,駅で降ります,駅で降ります,在车站下车
初级下册,第13课,で,,用/在,助词,de,電車で行きます,電車で行きます,坐电车去
初级下册,第13课,えき,駅,车站,名词,eki,駅で降ります,駅で降ります,在车站下车
初级下册,第13课,くうこう,空港,机场,名词,kuukou,空港に行きます,空港に行きます,去机场
初级下册,第13课,あるく,歩く,走路,动词,aruku,歩いて行きます,歩いて行きます,走路去
初级下册,第14课,てんき,天気,天气,名词,tenki,今日はいい天気です,今日はいい天気です,今天天气很好
初级下册,第14课,はれ,晴れ,晴天,名词,hare,今日は晴れです,今日は晴れです,今天是晴天
初级下册,第14课,あめ,雨,雨,名词,ame,雨が降ります,雨が降ります,下雨
初级下册,第14课,ゆき,雪,雪,名词,yuki,雪が降ります,雪が降ります,下雪
初级下册,第14课,かぜ,風,风,名词,kaze,風が強いです,風が強いです,风很大
初级下册,第14课,あつい,暑い,热的,形容词,atsui,今日は暑いです,今日は暑いです,今天很热
初级下册,第14课,さむい,寒い,冷的,形容词,samui,今日は寒いです,今日は寒いです,今天很冷
初级下册,第14课,すずしい,涼しい,凉爽的,形容词,suzushii,今日は涼しいです,今日は涼しいです,今天很凉爽
初级下册,第14课,はる,春,春天,名词,haru,春になりました,春になりました,春天到了
初级下册,第14课,なつ,夏,夏天,名词,natsu,夏は暑いです,夏は暑いです,夏天很热
初级下册,第14课,あき,秋,秋天,名词,aki,秋は涼しいです,秋は涼しいです,秋天很凉爽
初级下册,第14课,ふゆ,冬,冬天,名词,fuyu,冬は寒いです,冬は寒いです,冬天很冷
初级下册,第14课,ふる,降る,下,动词,furu,雨が降ります,雨が降ります,下雨
初级下册,第15课,きのう,昨日,昨天,名词,kinou,昨日映画を見ました,昨日映画を見ました,昨天看了电影
初级下册,第15课,ました,,过去式词尾,助动词,mashita,映画を見ました,映画を見ました,看了电影
初级下册,第15课,いきました,行きました,去了,动词,ikimashita,学校に行きました,学校に行きました,去了学校
初级下册,第15课,たべました,食べました,吃了,动词,tabemashita,昼ご飯を食べました,昼ご飯を食べました,吃了午饭
初级下册,第15课,のみました,飲みました,喝了,动词,nomimashita,コーヒーを飲みました,コーヒーを飲みました,喝了咖啡
初级下册,第15课,みました,見ました,看了,动词,mimashita,テレビを見ました,テレビを見ました,看了电视
初级下册,第15课,かいました,買いました,买了,动词,kaimashita,本を買いました,本を買いました,买了书
初级下册,第15课,よみました,読みました,读了,动词,yomimashita,新聞を読みました,新聞を読みました,读了报纸
初级下册,第15课,しんぶん,新聞,报纸,名词,shinbun,新聞を読みました,新聞を読みました,读了报纸
初级下册,第15课,せんしゅう,先週,上周,名词,senshuu,先週日本に行きました,先週日本に行きました,上周去了日本
初级下册,第15课,かきました,書きました,写了,动词,kakimashita,手紙を書きました,手紙を書きました,写了信
初级下册,第15课,てがみ,手紙,信,名词,tegami,手紙を書きます,手紙を書きます,写信
初级下册,第16课,やく,約,大约,副词,yaku,約一時間です,約一時間です,大约一小时
初级下册,第16课,じかん,時間,时间,名词,jikan,時間がありません,時間がありません,没有时间
初级下册,第16课,ぐらい,,大约,助词,gurai,一時間ぐらいです,一時間ぐらいです,大约一小时
初级下册,第16课,はやい,早い,早的,形容词,hayai,朝が早いです,朝が早いです,早上很早
初级下册,第16课,おそい,遅い,晚的,形容词,osoi,電車が遅いです,電車が遅いです,电车晚点了
初级下册,第16课,いそがしい,忙しい,忙的,形容词,isogashii,今日は忙しいです,今日は忙しいです,今天很忙
初级下册,第16课,ひま,暇,空闲,形容动词,hima,今日は暇です,今日は暇です,今天有空
初级下册,第16课,やすみ,休み,休息,名词,yasumi,今日は休みです,今日は休みです,今天休息
初级下册,第16课,しごと,仕事,工作,名词,shigoto,仕事をします,仕事をします,工作
初级下册,第16课,べんきょう,勉強,学习,名词,benkyou,日本語を勉強します,日本語を勉強します,学习日语
初级下册,第16课,しゅくだい,宿題,作业,名词,shukudai,宿題をします,宿題をします,做作业
初级下册,第17课,たいいく,体育,体育,名词,taiiku,体育の授業です,体育の授業です,是体育课
初级下册,第17课,じゅぎょう,授業,课程,名词,jugyou,授業があります,授業があります,有课
初级下册,第17课,こくご,国語,语文,名词,kokugo,国語の授業です,国語の授業です,是语文课
初级下册,第17课,すうがく,数学,数学,名词,suugaku,数学が難しいです,数学が難しいです,数学很难
初级下册,第17课,りか,理科,理科,名词,rika,理科の実験です,理科の実験です,是理科实验
初级下册,第17课,しゃかい,社会,社会,名词,shakai,社会の授業です,社会の授業です,是社会课
初级下册,第17课,えいご,英語,英语,名词,eigo,英語を勉強します,英語を勉強します,学习英语
初级下册,第17课,じっけん,実験,实验,名词,jikken,理科の実験をします,理科の実験をします,做理科实验
初级下册,第18课,りょうしん,両親,父母,名词,ryoushin,両親と住んでいます,両親と住んでいます,和父母住在一起
初级下册,第18课,すむ,住む,住,动词,sumu,東京に住んでいます,東京に住んでいます,住在东京
初级下册,第18课,とうきょう,東京,东京,名词,toukyou,東京に住んでいます,東京に住んでいます,住在东京
初级下册,第18课,おおさか,大阪,大阪,名词,oosaka,大阪に行きます,大阪に行きます,去大阪
初级下册,第18课,きょうと,京都,京都,名词,kyouto,京都を見ます,京都を見ます,看京都
初级下册,第18课,いなか,田舎,乡下,名词,inaka,田舎に住んでいます,田舎に住んでいます,住在乡下
初级下册,第18课,まち,町,城镇,名词,machi,この町が好きです,この町が好きです,喜欢这个城镇
初级下册,第18课,みなと,港,港口,名词,minato,港に船があります,港に船があります,港口有船
初级下册,第19课,たべもの,食べ物,食物,名词,tabemono,好きな食べ物は何ですか,好きな食べ物は何ですか,喜欢的食物是什么？
初级下册,第19课,のみもの,飲み物,饮料,名词,nomimono,冷たい飲み物です,冷たい飲み物です,是冷饮
初级下册,第19课,つめたい,冷たい,冷的,形容词,tsumetai,冷たい水です,冷たい水です,是冷水
初级下册,第19课,あたたかい,暖かい,温暖的,形容词,atatakai,暖かいお茶です,暖かいお茶です,是温茶
初级下册,第19课,おいしい,美味しい,好吃的,形容词,oishii,とても美味しいです,とても美味しいです,很好吃
初级下册,第19课,まずい,不味い,难吃的,形容词,mazui,この料理は不味いです,この料理は不味いです,这道菜很难吃
初级下册,第19课,レストラン,,餐厅,名词,resutoran,レストランで食べます,レストランで食べます,在餐厅吃饭
初级下册,第19课,きっさてん,喫茶店,咖啡店,名词,kissaten,喫茶店でコーヒーを飲みます,喫茶店でコーヒーを飲みます,在咖啡店喝咖啡
初级下册,第20课,ようふく,洋服,西装,名词,youfuku,新しい洋服を買いました,新しい洋服を買いました,买了新西装
初级下册,第20课,あたらしい,新しい,新的,形容词,atarashii,新しい車です,新しい車です,是新车
初级下册,第20课,ふるい,古い,旧的,形容词,furui,古い本です,古い本です,是旧书
初级下册,第20课,きれい,綺麗,漂亮的,形容动词,kirei,とても綺麗です,とても綺麗です,很漂亮
初级下册,第20课,きたない,汚い,脏的,形容词,kitanai,汚い服です,汚い服です,是脏衣服
初级下册,第20课,ふく,服,衣服,名词,fuku,新しい服を着ます,新しい服を着ます,穿新衣服
初级下册,第20课,きる,着る,穿,动词,kiru,服を着ます,服を着ます,穿衣服
初级下册,第20课,はく,履く,穿,动词,haku,靴を履きます,靴を履きます,穿鞋
初级下册,第20课,くつ,靴,鞋,名词,kutsu,新しい靴です,新しい靴です,是新鞋
中级上册,第21课,もし,,如果,副词,moshi,もし雨なら行きません,もし雨なら行きません,如果下雨就不去
中级上册,第21课,なら,,如果,助词,nara,雨なら行きません,雨なら行きません,如果下雨就不去
中级上册,第21课,じょうけん,条件,条件,名词,jouken,条件があります,条件があります,有条件
中级上册,第21课,ばあい,場合,场合,名词,baai,その場合は,その場合は,那种场合
中级上册,第21课,たら,,如果,助词,tara,時間があったら,時間があったら,如果有时间的话
中级上册,第21课,れば,,如果,助词,reba,お金があれば,お金があれば,如果有钱的话
中级上册,第21课,ば,,如果,助词,ba,行けば,行けば,如果去的话
中级上册,第21课,と,,一旦,助词,to,ボタンを押すと,ボタンを押すと,一按按钮
中级上册,第21课,ボタン,,按钮,名词,botan,ボタンを押します,ボタンを押します,按按钮
中级上册,第21课,おす,押す,按,动词,osu,ボタンを押します,ボタンを押します,按按钮
中级上册,第21课,もしかしたら,,也许,副词,moshikashitara,もしかしたら雨かもしれません,もしかしたら雨かもしれません,也许会下雨
中级上册,第22课,できる,出来る,能够,动词,dekiru,日本語ができます,日本語ができます,会日语
中级上册,第22课,かのう,可能,可能,名词,kanou,可能性があります,可能性があります,有可能性
中级上册,第22课,およげる,泳げる,能游泳,动词,oyogeru,泳げますか,泳げますか,会游泳吗？
中级上册,第22课,はなせる,話せる,能说话,动词,hanaseru,日本語が話せます,日本語が話せます,会说日语
中级上册,第22课,よめる,読める,能读,动词,yomeru,漢字が読めます,漢字が読めます,会读汉字
中级上册,第22课,かける,書ける,能写,动词,kakeru,ひらがなが書けます,ひらがなが書けます,会写平假名
中级上册,第22课,きこえる,聞こえる,能听见,动词,kikoeru,音楽が聞こえます,音楽が聞こえます,能听见音乐
中级上册,第22课,みえる,見える,能看见,动词,mieru,山が見えます,山が見えます,能看见山
中级上册,第22课,やま,山,山,名词,yama,山が見えます,山が見えます,能看见山
中级上册,第22课,ひらがな,,平假名,名词,hiragana,ひらがなが書けます,ひらがなが書けます,会写平假名
中级上册,第22课,カタカナ,,片假名,名词,katakana,カタカナが読めます,カタカナが読めます,会读片假名
中级上册,第22课,かんじ,漢字,汉字,名词,kanji,漢字が書けます,漢字が書けます,会写汉字
中级上册,第23课,たいせつ,大切,重要的,形容动词,taisetsu,家族は大切です,家族は大切です,家族很重要
中级上册,第23课,ひつよう,必要,必要的,形容动词,hitsuyou,勉強は必要です,勉強は必要です,学习是必要的
中级上册,第23课,むずかしい,難しい,困难的,形容词,muzukashii,日本語は難しいです,日本語は難しいです,日语很难
中级上册,第23课,やさしい,易しい,容易的,形容词,yasashii,この問題は易しいです,この問題は易しいです,这个问题很容易
中级上册,第23课,もんだい,問題,问题,名词,mondai,問題があります,問題があります,有问题
中级上册,第23课,かいけつ,解決,解决,名词,kaiketsu,問題を解決します,問題を解決します,解决问题
中级上册,第23课,ほうほう,方法,方法,名词,houhou,いい方法があります,いい方法があります,有好方法
中级上册,第23课,けいかく,計画,计划,名词,keikaku,旅行の計画です,旅行の計画です,是旅行计划
中级上册,第23课,りょこう,旅行,旅行,名词,ryokou,日本に旅行します,日本に旅行します,去日本旅行
中级上册,第23课,じゅんび,準備,准备,名词,junbi,準備をします,準備をします,做准备
中级上册,第24课,でんし,電子,电子,名词,denshi,電子辞書です,電子辞書です,是电子词典
中级上册,第24课,じしょ,辞書,词典,名词,jisho,辞書で調べます,辞書で調べます,用词典查
中级上册,第24课,しらべる,調べる,查找,动词,shiraberu,辞書で調べます,辞書で調べます,用词典查
中级上册,第24课,コンピューター,,电脑,名词,konpyuutaa,コンピューターで作業します,コンピューターで作業します,用电脑工作
中级上册,第24课,さぎょう,作業,作业,名词,sagyou,作業をします,作業をします,做作业
中级上册,第24课,インターネット,,互联网,名词,intaanetto,インターネットで調べます,インターネットで調べます,在互联网上查找
中级上册,第24课,メール,,邮件,名词,meeru,メールを送ります,メールを送ります,发邮件
中级上册,第24课,おくる,送る,发送,动词,okuru,手紙を送ります,手紙を送ります,寄信
中级下册,第31课,しんぱい,心配,担心,名词,shinpai,心配しないでください,心配しないでください,请不要担心
中级下册,第31课,あんしん,安心,安心,名词,anshin,安心しました,安心しました,安心了
中级下册,第31课,きんちょう,緊張,紧张,名词,kinchou,とても緊張します,とても緊張します,很紧张
中级下册,第31课,らく,楽,轻松,形容动词,raku,この仕事は楽です,この仕事は楽です,这个工作很轻松
中级下册,第31课,つらい,辛い,痛苦的,形容词,tsurai,今日は辛いです,今日は辛いです,今天很痛苦
中级下册,第31课,うれしい,嬉しい,高兴的,形容词,ureshii,とても嬉しいです,とても嬉しいです,很高兴
中级下册,第31课,かなしい,悲しい,悲伤的,形容词,kanashii,とても悲しいです,とても悲しいです,很悲伤
中级下册,第31课,おこる,怒る,生气,动词,okoru,先生が怒りました,先生が怒りました,老师生气了
中级下册,第31课,わらう,笑う,笑,动词,warau,みんなで笑いました,みんなで笑いました,大家一起笑了
中级下册,第31课,みんな,,大家,代词,minna,みんなで行きます,みんなで行きます,大家一起去
中级下册,第31课,きもち,気持ち,心情,名词,kimochi,いい気持ちです,いい気持ちです,心情很好
中级下册,第32课,しゅみ,趣味,兴趣,名词,shumi,読書が趣味です,読書が趣味です,读书是兴趣
中级下册,第32课,どくしょ,読書,读书,名词,dokusho,読書が好きです,読書が好きです,喜欢读书
中级下册,第32课,うんどう,運動,运动,名词,undou,毎日運動します,毎日運動します,每天运动
中级下册,第32课,まいにち,毎日,每天,名词,mainichi,毎日勉強します,毎日勉強します,每天学习
中级下册,第32课,りょこう,旅行,旅行,名词,ryokou,夏休みに旅行します,夏休みに旅行します,暑假去旅行
中级下册,第32课,なつやすみ,夏休み,暑假,名词,natsuyasumi,夏休みは長いです,夏休みは長いです,暑假很长
中级下册,第32课,ながい,長い,长的,形容词,nagai,この道は長いです,この道は長いです,这条路很长
中级下册,第32课,みじかい,短い,短的,形容词,mijikai,この鉛筆は短いです,この鉛筆は短いです,这支铅笔很短
中级下册,第32课,みち,道,路,名词,michi,この道を行きます,この道を行きます,走这条路
中级下册,第32课,えんぴつ,鉛筆,铅笔,名词,enpitsu,鉛筆で書きます,鉛筆で書きます,用铅笔写
中级下册,第32课,ゲーム,,游戏,名词,geemu,ゲームをします,ゲームをします,玩游戏
中级下册,第32课,サッカー,,足球,名词,sakkaa,サッカーをします,サッカーをします,踢足球
中级下册,第33课,けんこう,健康,健康,名词,kenkou,健康が大切です,健康が大切です,健康很重要
中级下册,第33课,びょうき,病気,生病,名词,byouki,病気になりました,病気になりました,生病了
中级下册,第33课,いたい,痛い,疼的,形容词,itai,頭が痛いです,頭が痛いです,头疼
中级下册,第33课,ねつ,熱,发烧,名词,netsu,熱があります,熱があります,发烧了
中级下册,第33课,くすり,薬,药,名词,kusuri,薬を飲みます,薬を飲みます,吃药
中级下册,第33课,びょういん,病院,医院,名词,byouin,病院に行きます,病院に行きます,去医院
中级下册,第33课,いしゃ,医者,医生,名词,isha,医者に診てもらいます,医者に診てもらいます,让医生看病
中级下册,第33课,みる,診る,诊断,动词,miru,医者が診ます,医者が診ます,医生诊断
高级上册,第41课,しゃかい,社会,社会,名词,shakai,現代社会について,現代社会について,关于现代社会
高级上册,第41课,げんだい,現代,现代,名词,gendai,現代社会について,現代社会について,关于现代社会
高级上册,第41课,について,,关于,助词,ni tsuite,社会について話します,社会について話します,谈论社会
